game_date,season,Visitor/Neutral,Home/Neutral,point_spread_visitor,point_spread_home,spread_odds_visitor,spread_odds_home,ml_odds_visitor,ml_odds_home,total,total_odds_visitor,total_odds_home
2/2/2017,16/17,GSW,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/2017,16/17,LAC,PHX,-3,3,-105,-115,-145,125,220,-115,-105
1/24/2017,16/17,LAC,PHI,-5,5,-110,-110,-200,170,204,-115,-105
1/23/2017,16/17,LAC,ATL,8,-8,-115,-105,260,-320,207,-105,-115
1/14/2017,16/17,LAL,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/2017,16/17,PHX,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/17/2013,12/13,CLE,CHA,2.5,-2.5,-115,-105,#N/A,#N/A,202,-115,-105
4/15/2013,12/13,MIA,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/12/2013,12/13,NYK,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/5/2013,12/13,CLE,BOS,5,-5,-105,-115,175,-210,199,-110,-110
3/20/2013,12/13,MIL,ATL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/17/2013,12/13,ATL,BKN,4.5,-4.5,-115,-105,160,-180,189,-110,-110
3/8/2013,12/13,ATL,BOS,4.5,-4.5,-115,-105,165,-190,188,-115,-105
3/3/2013,12/13,ATL,LAL,6.5,-6.5,-115,-105,210,-250,207,-110,-110
4/5/2013,12/13,CLE,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/31/2013,12/13,TOR,WAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/19/2013,12/13,CLE,UTA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/9/2013,12/13,UTA,CHA,-5,5,-105,-115,-190,165,199,-105,-115
12/30/2012,12/13,UTA,LAC,10.5,-10.5,-110,-110,425,-650,197,-110,-110
1/26/2013,12/13,MIN,CHA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/15/2013,12/13,IND,CHA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/14/2013,12/13,CHA,BOS,11,-11,-110,-110,#N/A,#N/A,193,-105,-115
1/4/2013,12/13,PHI,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/27/2012,12/13,DAL,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/2012,12/13,OKC,MIN,-3.5,3.5,-105,-115,-155,135,201,-115,-105
12/28/2012,12/13,TOR,NOP,3,-3,-110,-110,135,-155,183,-110,-110
12/9/2012,12/13,TOR,LAC,11,-11,-115,-105,#N/A,#N/A,202,-110,-110
1/2/2013,12/13,CHI,ORL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/10/2012,12/13,WAS,IND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/3/2012,12/13,SAC,IND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/8/2012,12/13,NYK,CHI,-3,3,-105,-115,#N/A,#N/A,189,-105,-115
12/6/2012,12/13,NYK,MIA,9.5,-9.5,-105,-115,400,-600,199,-115,-105
12/2/2012,12/13,PHX,NYK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/23/2012,12/13,MIN,POR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/21/2012,12/13,POR,PHX,1.5,-1.5,-110,-110,#N/A,#N/A,202,-110,-110
11/8/2012,12/13,LAC,POR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/3/2012,12/13,POR,HOU,6,-6,-115,-105,200,-240,206,-115,-105
3/27/2013,12/13,DEN,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/24/2013,12/13,SAS,HOU,-1.5,1.5,-115,-105,#N/A,#N/A,213,-110,-110
4/1/2013,12/13,BOS,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/24/2013,12/13,CHI,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/22/2013,12/13,MIN,PHX,3,-3,-110,-110,125,-145,193,-115,-105
3/21/2013,12/13,MIN,SAC,6.5,-6.5,-115,-105,210,-250,211,-115,-105
4/4/2013,12/13,DAL,DEN,7.5,-7.5,-115,-105,250,-300,208,-115,-105
3/19/2013,12/13,DEN,OKC,9,-9,-105,-115,375,-550,218,-110,-110
3/18/2013,12/13,DEN,CHI,-4,4,-110,-110,-165,145,194,-115,-105
3/9/2013,12/13,MIN,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/25/2013,12/13,LAL,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/23/2013,12/13,DEN,CHA,-10,10,-110,-110,-600,400,209,-110,-110
3/15/2013,12/13,NOP,WAS,3.5,-3.5,-110,-110,140,-160,187,-110,-110
2/26/2013,12/13,BKN,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/10/2013,12/13,LAC,NYK,3.5,-3.5,-110,-110,135,-155,193,-110,-110
2/6/2013,12/13,LAC,ORL,-5,5,-110,-110,-210,175,185,-105,-115
1/13/2013,12/13,CLE,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/11/2013,12/13,OKC,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/9/2013,12/13,LAL,SAS,13.5,-13.5,-110,-110,#N/A,#N/A,214,-110,-110
1/6/2013,12/13,DEN,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/30/2013,12/13,HOU,DEN,4,-4,-105,-115,150,-170,217,-110,-110
1/26/2013,12/13,BKN,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/18/2013,12/13,HOU,IND,4.5,-4.5,-110,-110,165,-190,195,-115,-105
1/8/2013,12/13,MIA,IND,-3,3,-105,-115,#N/A,#N/A,188,-105,-115
1/6/2013,12/13,WAS,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/4/2013,12/13,CHI,MIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/13/2013,12/13,PHI,MIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/11/2013,12/13,WAS,MIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/16/2014,13/14,BKN,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/12/2014,13/14,BOS,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/5/2014,13/14,CHA,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/25/2014,13/14,TOR,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/17/2014,13/14,CLE,DEN,7.5,-7.5,-115,-105,250,-300,211,-110,-110
1/12/2014,13/14,CLE,SAC,3.5,-3.5,-110,-110,140,-160,207,-105,-115
1/5/2014,13/14,IND,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/4/2014,13/14,CLE,BKN,6.5,-6.5,-110,-110,220,-260,192,-110,-110
12/31/2013,13/14,CLE,IND,13,-13,-110,-110,#N/A,#N/A,197,-110,-110
1/8/2014,13/14,IND,ATL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/29/2013,13/14,ATL,ORL,3,-3,-110,-110,130,-150,202,-115,-105
1/5/2014,13/14,BOS,OKC,9,-9,-110,-110,350,-500,194,-115,-105
1/2/2014,13/14,BOS,CHI,5,-5,-105,-115,170,-200,183,-105,-115
12/18/2013,13/14,DET,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/11/2013,13/14,LAC,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/6/2013,13/14,DEN,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/23/2013,13/14,NYK,WAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/22/2013,13/14,WAS,TOR,4.5,-4.5,-110,-110,165,-190,195,-105,-115
11/20/2013,13/14,WAS,CLE,3.5,-3.5,-115,-105,130,-150,192,-105,-115
12/7/2013,13/14,DET,CHI,2,-2,-110,-110,#N/A,#N/A,188,-115,-105
12/4/2013,13/14,DET,MIL,-5,5,-105,-115,-200,170,192,-115,-105
12/1/2013,13/14,PHI,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/24/2013,13/14,DET,BKN,2,-2,-110,-110,#N/A,#N/A,191,-110,-110
11/8/2013,13/14,OKC,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/5/2013,13/14,IND,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,13/14,CHA,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/11/2013,13/14,ORL,BOS,2,-2,-115,-105,#N/A,#N/A,190,-115,-105
11/8/2013,13/14,BOS,ORL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/4/2014,13/14,IND,ATL,-4,4,-105,-115,-165,145,200,-110,-110
11/8/2013,13/14,BKN,WAS,-2,2,-115,-105,#N/A,#N/A,197,-115,-105
4/5/2014,13/14,BKN,PHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/26/2014,13/14,PHX,UTA,2,-2,-110,-110,#N/A,#N/A,200,-115,-105
2/26/2014,13/14,DET,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/23/2014,13/14,MIN,POR,3.5,-3.5,-105,-115,150,-170,215,-105,-115
2/12/2014,13/14,DEN,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/10/2014,13/14,HOU,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/7/2014,13/14,MIN,NOP,-1,1,-110,-110,#N/A,#N/A,198,-110,-110
1/21/2014,13/14,MIN,UTA,-5,5,-105,-115,-190,165,203,-110,-110
3/11/2014,13/14,DAL,GSW,6,-6,-115,-105,190,-230,208,-115,-105
2/12/2014,13/14,DEN,MIN,6.5,-6.5,-105,-115,230,-270,209,-105,-115
2/7/2014,13/14,DEN,NYK,2.5,-2.5,-115,-105,#N/A,#N/A,210,-110,-110
2/9/2014,13/14,NOP,BKN,5,-5,-115,-105,170,-200,195,-115,-105
2/7/2014,13/14,MIN,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/26/2014,13/14,ORL,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/29/2014,13/14,CHI,SAS,8,-8,-110,-110,280,-360,188,-105,-115
1/20/2014,13/14,LAC,DET,-4,4,-105,-115,-165,145,208,-115,-105
1/18/2014,13/14,LAC,IND,9,-9,-110,-110,320,-460,196,-115,-105
1/17/2014,13/14,LAC,NYK,-4.5,4.5,-105,-115,-190,165,203,-110,-110
12/23/2013,13/14,LAL,PHX,7.5,-7.5,-110,-110,270,-340,209,-115,-105
12/6/2013,13/14,LAL,SAC,3.5,-3.5,-110,-110,145,-165,203,-110,-110
11/24/2013,13/14,SAC,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/27/2013,13/14,PHX,GSW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/17/2013,13/14,NOP,GSW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/13/2013,13/14,HOU,GSW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/2013,13/14,HOU,IND,6,-6,-110,-110,210,-250,198,-105,-115
12/13/2013,13/14,CHI,MIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/11/2013,13/14,SAS,MIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/13/2015,14/15,DET,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/10/2015,14/15,BOS,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/5/2015,14/15,CHI,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/20/2015,14/15,IND,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/18/2015,14/15,BKN,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/16/2015,14/15,CLE,MIA,-6.5,6.5,-105,-115,-255,215,204,-105,-115
12/17/2014,14/15,ATL,CLE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/11/2014,14/15,CLE,OKC,7,-7,-105,-115,245,-290,202,-115,-105
12/10/2014,14/15,BOS,CHA,2.5,-2.5,-105,-115,#N/A,#N/A,205,-115,-105
12/21/2014,14/15,PHX,WAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/16/2014,14/15,MIN,WAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/30/2014,14/15,GSW,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/2014,14/15,UTA,NYK,4,-4,-115,-105,145,-165,192,-105,-115
11/12/2014,14/15,UTA,ATL,7,-7,-110,-110,260,-320,197,-115,-105
11/10/2014,14/15,UTA,IND,2.5,-2.5,-105,-115,#N/A,#N/A,187,-115,-105
,14/15,MEM,IND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,14/15,MIN,MEM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/4/2014,14/15,OKC,TOR,11.5,-11.5,-115,-105,#N/A,#N/A,194,-105,-115
,14/15,OKC,POR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/13/2015,14/15,ORL,MIA,6,-6,-115,-105,210,-250,198,-110,-110
4/4/2015,14/15,ORL,MIL,9,-9,-110,-110,350,-500,194,-110,-110
3/18/2015,14/15,ORL,DAL,12.5,-12.5,-105,-115,#N/A,#N/A,205,-115,-105
3/31/2015,14/15,IND,BKN,-1,1,-115,-105,#N/A,#N/A,199,-115,-105
3/20/2015,14/15,IND,CLE,10.5,-10.5,-110,-110,#N/A,#N/A,201,-110,-110
3/14/2015,14/15,BOS,IND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/18/2015,14/15,BKN,CLE,12,-12,-110,-110,#N/A,#N/A,207,-115,-105
3/16/2015,14/15,BKN,MIN,-5,5,-110,-110,-210,175,199,-110,-110
3/14/2015,14/15,BKN,PHI,-6.5,6.5,-115,-105,-275,235,197,-115,-105
2/11/2015,14/15,NYK,ORL,6,-6,-110,-110,200,-240,187,-120,100
2/3/2015,14/15,BOS,NYK,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/29/2015,14/15,NYK,IND,7.5,-7.5,-105,-115,270,-340,187,-115,-105
1/24/2015,14/15,NYK,CHA,9,-9,-115,-105,310,-420,182,-110,-110
2/11/2015,14/15,LAL,POR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/3/2015,14/15,UTA,POR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/31/2015,14/15,POR,MIL,-2.5,2.5,-110,-110,#N/A,#N/A,199,-110,-110
1/28/2015,14/15,POR,CLE,3,-3,-110,-110,130,-150,205,-105,-115
1/21/2015,14/15,POR,PHX,7.5,-7.5,-115,-105,260,-320,212,-105,-115
1/21/2015,14/15,NYK,PHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/7/2015,14/15,MIL,PHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/2/2015,14/15,PHI,PHX,14,-14,-105,-115,#N/A,#N/A,209,-105,-115
4/10/2015,14/15,SAS,HOU,-4,4,-110,-110,-165,145,205,-105,-115
4/8/2015,14/15,HOU,SAS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/25/2015,14/15,LAL,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/16/2015,14/15,BKN,MIN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,14/15,MIN,MEM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/2/2015,14/15,HOU,DAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/25/2015,14/15,PHI,DEN,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/20/2015,14/15,DEN,MIA,7.5,-7.5,-105,-115,290,-380,210,-110,-110
4/1/2015,14/15,NOP,LAL,-9.5,9.5,-105,-115,-550,375,197,-110,-110
3/27/2015,14/15,SAC,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/25/2015,14/15,HOU,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/22/2015,14/15,NOP,LAC,10,-10,-110,-110,425,-650,200,-110,-110
3/17/2015,14/15,MIL,NOP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/13/2015,14/15,LAC,DAL,3,-3,-110,-110,135,-155,203,-115,-105
3/2/2015,14/15,LAC,MIN,-6.5,6.5,-115,-105,-265,225,205,-110,-110
12/6/2014,14/15,NOP,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/3/2014,14/15,ORL,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/23/2014,14/15,LAC,MEM,2.5,-2.5,-110,-110,#N/A,#N/A,198,-110,-110
11/19/2014,14/15,LAC,ORL,-5.5,5.5,-110,-110,-220,180,204,-105,-115
11/10/2014,14/15,SAS,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/8/2014,14/15,POR,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/15/2015,14/15,SAC,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/7/2015,14/15,LAL,LAC,17.5,-17.5,-115,-105,#N/A,#N/A,207,-110,-110
3/16/2015,14/15,LAL,GSW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/25/2014,14/15,GSW,LAC,1.5,-1.5,-110,-110,#N/A,#N/A,220,-115,-105
12/13/2014,14/15,GSW,DAL,-1,1,-105,-115,#N/A,#N/A,217,-110,-110
12/8/2014,14/15,GSW,MIN,-15,15,-110,-110,#N/A,#N/A,214,-110,-110
3/25/2015,14/15,HOU,NOP,-1,1,-115,-105,#N/A,#N/A,203,-115,-105
3/6/2015,14/15,DET,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/3/2014,14/15,HOU,PHI,-11.5,11.5,-110,-110,#N/A,#N/A,201,-110,-110
11/1/2014,14/15,BOS,HOU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/2015,14/15,MIA,BOS,3.5,-3.5,-110,-110,140,-160,185,-110,-110
3/17/2015,14/15,MIL,NOP,7,-7,-105,-115,260,-320,191,-105,-115
11/16/2014,14/15,MIL,MIA,5,-5,-105,-115,175,-210,190,-110,-110
,14/15,PHI,MIL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/9/2016,15/16,BOS,ATL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/15/2016,15/16,ATL,MIL,-5,5,-105,-115,-190,165,206,-115,-105
12/28/2015,15/16,ATL,IND,1.5,-1.5,-105,-115,#N/A,#N/A,204,-110,-110
12/23/2015,15/16,DET,ATL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/20/2015,15/16,ATL,ORL,-1.5,1.5,-115,-105,#N/A,#N/A,201,-115,-105
4/11/2016,15/16,CHA,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/9/2016,15/16,BOS,ATL,5,-5,-110,-110,175,-210,207,-110,-110
4/6/2016,15/16,NOP,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/1/2016,15/16,BOS,GSW,11.5,-11.5,-110,-110,#N/A,#N/A,222,-115,-105
3/23/2016,15/16,TOR,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/20/2016,15/16,BOS,PHI,-12,12,-110,-110,#N/A,#N/A,215,-110,-110
3/16/2016,15/16,OKC,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/9/2015,15/16,CHI,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/7/2015,15/16,BOS,NOP,-1,1,-115,-105,#N/A,#N/A,211,-105,-115
11/27/2015,15/16,WAS,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/25/2015,15/16,PHI,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/2/2016,15/16,DET,CHI,3,-3,-105,-115,130,-150,206,-115,-105
4/1/2016,15/16,DAL,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/29/2016,15/16,OKC,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/25/2016,15/16,CHA,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/23/2016,15/16,ORL,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/19/2016,15/16,BKN,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/16/2016,15/16,ATL,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/2/2015,15/16,PHX,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/30/2015,15/16,HOU,DET,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/7/2012,12/13,WAS,BOS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/27/2015,15/16,DET,OKC,8,-8,-110,-110,300,-400,209,-110,-110
3/13/2016,15/16,UTA,SAC,-1.5,1.5,-110,-110,#N/A,#N/A,208,-105,-115
3/9/2016,15/16,UTA,GSW,14,-14,-105,-115,#N/A,#N/A,210,-110,-110
3/5/2016,15/16,UTA,NOP,1.5,-1.5,-115,-105,#N/A,#N/A,196,-110,-110
3/4/2016,15/16,UTA,MEM,0,0,-110,-110,#N/A,#N/A,192,-110,-110
2/29/2016,15/16,UTA,BOS,5,-5,-110,-110,180,-220,205,-115,-105
2/25/2016,15/16,SAS,UTA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/30/2016,15/16,SAC,MEM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/21/2016,15/16,MEM,DEN,-3,3,-105,-115,#N/A,#N/A,196,-115,-105
1/10/2016,15/16,BOS,MEM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/29/2016,15/16,CHA,PHI,-11.5,11.5,-115,-105,#N/A,#N/A,210,-115,-105
3/25/2016,15/16,CHA,DET,2,-2,-110,-110,#N/A,#N/A,206,-105,-115
1/23/2016,15/16,NYK,CHA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/20/2016,15/16,CHA,OKC,10,-10,-115,-105,400,-600,207,-110,-110
1/10/2016,15/16,CHA,DEN,-1.5,1.5,-115,-105,#N/A,#N/A,198,-115,-105
1/6/2016,15/16,CHA,PHX,-2.5,2.5,-110,-110,#N/A,#N/A,203,-115,-105
1/27/2016,15/16,OKC,MIN,-7,7,-110,-110,-300,250,213,-115,-105
1/26/2016,15/16,OKC,NYK,-9.5,9.5,-110,-110,-550,375,209,-115,-105
1/20/2016,15/16,CHA,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/17/2016,15/16,MIA,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/15/2016,15/16,MIN,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/13/2016,15/16,DAL,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,15/16,OKC,ORL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,15/16,SAS,OKC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/2/2016,15/16,TOR,PHX,-9.5,9.5,-110,-110,-500,350,#N/A,#N/A,#N/A
1/30/2016,15/16,DET,TOR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/28/2016,15/16,NYK,TOR,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/20/2016,15/16,ORL,TOR,9.5,-9.5,-110,-110,375,-550,209,-115,-105
1/18/2016,15/16,ORL,ATL,7.5,-7.5,-105,-115,280,-360,199,-110,-110
1/2/2016,15/16,ORL,CLE,9,-9,-110,-110,325,-450,193,-105,-115
