game_date,season,Visitor/Neutral,Home/Neutral,point_spread_visitor,point_spread_home,spread_odds_visitor,spread_odds_home,ml_odds_visitor,ml_odds_home,total,total_odds_visitor,total_odds_home
1/12/2015,14/15,ORL,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/9/2015,14/15,CHI,WAS,1,-1,-115,-105,#N/A,#N/A,195,-110,-110
1/5/2015,14/15,HOU,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/25/2014,14/15,LAL,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/6/2014,14/15,GSW,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/30/2014,14/15,CHI,BKN,-3.5,3.5,-105,-115,#N/A,#N/A,193,-110,-110
11/28/2014,14/15,CHI,BOS,-4,4,-105,-115,#N/A,#N/A,204,-115,-105
11/24/2014,14/15,CHI,UTA,-4,4,-110,-110,#N/A,#N/A,193,-110,-110
11/21/2014,14/15,CHI,POR,9,-9,-115,-105,#N/A,#N/A,196,-110,-110
11/17/2014,14/15,CHI,LAC,7.5,-7.5,-115,-105,#N/A,#N/A,199,-110,-110
11/5/2014,14/15,CHI,MIL,-5,5,-115,-105,#N/A,#N/A,192,-105,-115
,14/15,CLE,CHI,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/13/2015,14/15,DEN,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/18/2015,14/15,LAC,SAC,-9,9,-110,-110,#N/A,#N/A,214,-110,-110
2/21/2015,14/15,SAC,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/11/2015,14/15,HOU,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/6/2015,14/15,LAC,TOR,-1.5,1.5,-115,-105,#N/A,#N/A,211,-115,-105
1/30/2015,14/15,LAC,NOP,-7.5,7.5,-115,-105,#N/A,#N/A,199,-110,-110
1/28/2015,14/15,LAC,UTA,-7,7,-110,-110,#N/A,#N/A,199,-115,-105
1/17/2015,14/15,LAC,SAC,-10,10,-115,-105,#N/A,#N/A,209,-105,-115
1/16/2015,14/15,CLE,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/3/2015,14/15,PHI,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2014,14/15,NYK,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/15/2014,14/15,DET,LAC,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,14/15,LAC,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/30/2015,14/15,LAL,PHI,5,-5,-110,-110,#N/A,#N/A,192,-110,-110
3/27/2015,14/15,LAL,TOR,8.5,-8.5,-115,-105,#N/A,#N/A,204,-110,-110
3/22/2015,14/15,PHI,LAL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
